RowID;OrderID;OrderDate;ShipDate;ShipMode;CustomerID;CustomerName;Segment;Country;City;State;PostalCode;Region;ProductID;Category;Sub-Category;ProductName;Sales;Quantity;Discount;Profit;DeliveryDays;
19;CA-2014-143336;27/8/2014;1/9/2014;SecondClass;ZD-21925;ZuschussDonatelli;Consumer;UnitedStates;SanFrancisco;California;94109;West;OFF-AR-10003056;OfficeSupplies;Art;Newell341;8,56;2;0;24824;5;
20;CA-2014-143336;27/8/2014;1/9/2014;SecondClass;ZD-21925;ZuschussDonatelli;Consumer;UnitedStates;SanFrancisco;California;94109;West;TEC-PH-10001949;Technology;Phones;CiscoSPA501GIPPhone;213,48;3;0,2;16011;5;
21;CA-2014-143336;27/8/2014;1/9/2014;SecondClass;ZD-21925;ZuschussDonatelli;Consumer;UnitedStates;SanFrancisco;California;94109;West;OFF-BI-10002215;OfficeSupplies;Binders;"WilsonJonesHangingViewBinder,White,1""";22,72;4;0,2;7384;5;
22;CA-2016-137330;9/12/2016;13/12/2016;StandardClass;KB-16585;KenBlack;Corporate;UnitedStates;Fremont;Nebraska;68025;Central;OFF-AR-10000246;OfficeSupplies;Art;Newell318;19,46;7;0;50596;4;
23;CA-2016-137330;9/12/2016;13/12/2016;StandardClass;KB-16585;KenBlack;Corporate;UnitedStates;Fremont;Nebraska;68025;Central;OFF-AP-10001492;OfficeSupplies;Appliances;AccoSix-OutletPowerStrip,4'CordLength;60,34;7;0;156884;4;
24;US-2017-156909;16/7/2017;18/7/2017;SecondClass;SF-20065;SandraFlanagan;Consumer;UnitedStates;Philadelphia;Pennsylvania;19140;East;FUR-CH-10002774;Furniture;Chairs;GlobalDeluxeStackingChair,Gray;71372;2;0,3;-10196;2;
25;CA-2015-106320;25/9/2015;30/9/2015;StandardClass;EB-13870;EmilyBurns;Consumer;UnitedStates;Orem;Utah;84057;West;FUR-TA-10000577;Furniture;Tables;BretfordCR4500SeriesSlimRectangularTable;1044,63;3;0;2402649;5;
26;CA-2016-121755;16/1/2016;20/1/2016;SecondClass;EH-13945;EricHoffmann;Consumer;UnitedStates;LosAngeles;California;90049;West;OFF-BI-10001634;OfficeSupplies;Binders;WilsonJonesActiveUseBinders;11648;2;0,2;42224;4;
27;CA-2016-121755;16/1/2016;20/1/2016;SecondClass;EH-13945;EricHoffmann;Consumer;UnitedStates;LosAngeles;California;90049;West;TEC-AC-10003027;Technology;Accessories;Imationï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;90,57;3;0;117741;4;
28;US-2015-150630;17/9/2015;21/9/2015;StandardClass;TB-21520;TracyBlumstein;Consumer;UnitedStates;Philadelphia;Pennsylvania;19140;East;FUR-BO-10004834;Furniture;Bookcases;RiversidePalaisRoyalLawyersBookcase,RoyaleCherryFinish;3083,43;7;0,5;-16650522;4;
29;US-2015-150630;17/9/2015;21/9/2015;StandardClass;TB-21520;TracyBlumstein;Consumer;UnitedStates;Philadelphia;Pennsylvania;19140;East;OFF-BI-10000474;OfficeSupplies;Binders;AveryRecycledFlexi-ViewCoversforBindingSystems;9618;2;0,7;-70532;4;
30;US-2015-150630;17/9/2015;21/9/2015;StandardClass;TB-21520;TracyBlumstein;Consumer;UnitedStates;Philadelphia;Pennsylvania;19140;East;FUR-FU-10004848;Furniture;Furnishings;"HowardMiller13-3/4""DiameterBrushedChromeRoundWallClock";124,2;3;0,2;15525;4;
31;US-2015-150630;17/9/2015;21/9/2015;StandardClass;TB-21520;TracyBlumstein;Consumer;UnitedStates;Philadelphia;Pennsylvania;19140;East;OFF-EN-10001509;OfficeSupplies;Envelopes;PolyStringTieEnvelopes;3264;2;0,2;11016;4;
32;US-2015-150630;17/9/2015;21/9/2015;StandardClass;TB-21520;TracyBlumstein;Consumer;UnitedStates;Philadelphia;Pennsylvania;19140;East;OFF-AR-10004042;OfficeSupplies;Art;BOSTONModel1800ElectricPencilSharpeners,Putty/Woodgrain;86304;6;0,2;97092;4;
33;US-2015-150630;17/9/2015;21/9/2015;StandardClass;TB-21520;TracyBlumstein;Consumer;UnitedStates;Philadelphia;Pennsylvania;19140;East;OFF-BI-10001525;OfficeSupplies;Binders;"AccoPressboardCoverswithStorageHooks,147/8""x11"",ExecutiveRed";6858;6;0,7;-5715;4;
34;US-2015-150630;17/9/2015;21/9/2015;StandardClass;TB-21520;TracyBlumstein;Consumer;UnitedStates;Philadelphia;Pennsylvania;19140;East;OFF-AR-10001683;OfficeSupplies;Art;LumberCrayons;15,76;2;0,2;3546;4;
35;CA-2017-107727;19/10/2017;23/10/2017;SecondClass;MA-17560;MattAbelman;HomeOffice;UnitedStates;Houston;Texas;77095;Central;OFF-PA-10000249;OfficeSupplies;Paper;Easy-staplepaper;29472;3;0,2;99468;4;
36;CA-2016-117590;8/12/2016;10/12/2016;FirstClass;GH-14485;GeneHale;Corporate;UnitedStates;Richardson;Texas;75080;Central;TEC-PH-10004977;Technology;Phones;GE30524EE4;1097544;7;0,2;1234737;2;
37;CA-2016-117590;8/12/2016;10/12/2016;FirstClass;GH-14485;GeneHale;Corporate;UnitedStates;Richardson;Texas;75080;Central;FUR-FU-10003664;Furniture;Furnishings;ElectrixArchitect'sClamp-OnSwingArmLamp,Black;190,92;5;0,6;-147963;2;
38;CA-2015-117415;27/12/2015;31/12/2015;StandardClass;SN-20710;SteveNguyen;HomeOffice;UnitedStates;Houston;Texas;77041;Central;OFF-EN-10002986;OfficeSupplies;Envelopes;"#10-41/8""x91/2""PremiumDiagonalSeamEnvelopes";113328;9;0,2;35415;4;
39;CA-2015-117415;27/12/2015;31/12/2015;StandardClass;SN-20710;SteveNguyen;HomeOffice;UnitedStates;Houston;Texas;77041;Central;FUR-BO-10002545;Furniture;Bookcases;AtlanticMetalsMobile3-ShelfBookcases,CustomColors;5323992;3;0,32;-469764;4;
40;CA-2015-117415;27/12/2015;31/12/2015;StandardClass;SN-20710;SteveNguyen;HomeOffice;UnitedStates;Houston;Texas;77041;Central;FUR-CH-10004218;Furniture;Chairs;GlobalFabricManager'sChair,DarkGray;212058;3;0,3;-15147;4;
41;CA-2015-117415;27/12/2015;31/12/2015;StandardClass;SN-20710;SteveNguyen;HomeOffice;UnitedStates;Houston;Texas;77041;Central;TEC-PH-10000486;Technology;Phones;PlantronicsHL10HandsetLifter;371168;4;0,2;417564;4;
42;CA-2017-120999;10/9/2017;15/9/2017;StandardClass;LC-16930;LindaCazamias;Corporate;UnitedStates;Naperville;Illinois;60540;Central;TEC-PH-10004093;Technology;Phones;PanasonicKx-TS550;147168;4;0,2;165564;5;
43;CA-2016-101343;17/7/2016;22/7/2016;StandardClass;RA-19885;RubenAusman;Corporate;UnitedStates;LosAngeles;California;90049;West;OFF-ST-10003479;OfficeSupplies;Storage;EldonBaseforstackablestorageshelf,platinum;77,88;2;0;3894;5;
44;CA-2017-139619;19/9/2017;23/9/2017;StandardClass;ES-14080;ErinSmith;Corporate;UnitedStates;Melbourne;Florida;32935;South;OFF-ST-10003282;OfficeSupplies;Storage;Advantus10-DrawerPortableOrganizer,ChromeMetalFrame,SmokeDrawers;95616;2;0,2;95616;4;
45;CA-2016-118255;11/3/2016;13/3/2016;FirstClass;ON-18715;OdellaNelson;Corporate;UnitedStates;Eagan;Minnesota;55122;Central;TEC-AC-10000171;Technology;Accessories;Verbatim25GB6xBlu-raySingleLayerRecordableDisc,25/Pack;45,98;2;0;197714;2;
46;CA-2016-118255;11/3/2016;13/3/2016;FirstClass;ON-18715;OdellaNelson;Corporate;UnitedStates;Eagan;Minnesota;55122;Central;OFF-BI-10003291;OfficeSupplies;Binders;WilsonJonesLeather-LikeBinderswithDublLockRoundRings;17,46;2;0;82062;2;
47;CA-2014-146703;20/10/2014;25/10/2014;SecondClass;PO-18865;PatrickO'Donnell;Consumer;UnitedStates;Westland;Michigan;48185;Central;OFF-ST-10001713;OfficeSupplies;Storage;GouldPlastics9-PocketPanelBin,18-3/8wx5-1/4dx20-1/2h,Black;211,96;4;0;84784;5;
48;CA-2016-169194;20/6/2016;25/6/2016;StandardClass;LH-16900;LenaHernandez;Consumer;UnitedStates;Dover;Delaware;19901;East;TEC-AC-10002167;Technology;Accessories;Imationï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;45;3;0;4,95;5;
49;CA-2016-169194;20/6/2016;25/6/2016;StandardClass;LH-16900;LenaHernandez;Consumer;UnitedStates;Dover;Delaware;19901;East;TEC-PH-10003988;Technology;Phones;LFElite3DDazzleDesignerHardCaseCover,LfStylusPenandWiperForAppleIphone5cMiniLite;21,8;2;0;6104;5;
50;CA-2015-115742;18/4/2015;22/4/2015;StandardClass;DP-13000;DarrenPowers;Consumer;UnitedStates;NewAlbany;Indiana;47150;Central;OFF-BI-10004410;OfficeSupplies;Binders;C-LinePeel&StickAdd-OnFilingPockets,8-3/4x5-1/8,10/Pack;38,22;6;0;179634;4;
51;CA-2015-115742;18/4/2015;22/4/2015;StandardClass;DP-13000;DarrenPowers;Consumer;UnitedStates;NewAlbany;Indiana;47150;Central;OFF-LA-10002762;OfficeSupplies;Labels;Avery485;75,18;6;0;353346;4;
52;CA-2015-115742;18/4/2015;22/4/2015;StandardClass;DP-13000;DarrenPowers;Consumer;UnitedStates;NewAlbany;Indiana;47150;Central;FUR-FU-10001706;Furniture;Furnishings;Longer-LifeSoftWhiteBulbs;6,16;2;0;29568;4;
53;CA-2015-115742;18/4/2015;22/4/2015;StandardClass;DP-13000;DarrenPowers;Consumer;UnitedStates;NewAlbany;Indiana;47150;Central;FUR-CH-10003061;Furniture;Chairs;GlobalLeatherTaskChair,Black;89,99;1;0;170981;4;
54;CA-2016-105816;11/12/2016;17/12/2016;StandardClass;JM-15265;JanetMolinari;Corporate;UnitedStates;NewYorkCity;NewYork;10024;East;OFF-FA-10000304;OfficeSupplies;Fasteners;AdvantusPushPins;15,26;7;0;62566;6;
55;CA-2016-105816;11/12/2016;17/12/2016;StandardClass;JM-15265;JanetMolinari;Corporate;UnitedStates;NewYorkCity;NewYork;10024;East;TEC-PH-10002447;Technology;Phones;AT&TCL834514-HandsetTelephone;1029,95;5;0;2986855;6;
56;CA-2016-111682;17/6/2016;18/6/2016;FirstClass;TB-21055;TedButterfield;Consumer;UnitedStates;Troy;NewYork;12180;East;OFF-ST-10000604;OfficeSupplies;Storage;Home/OfficePersonalFileCarts;208,56;6;0;52,14;1;
57;CA-2016-111682;17/6/2016;18/6/2016;FirstClass;TB-21055;TedButterfield;Consumer;UnitedStates;Troy;NewYork;12180;East;OFF-PA-10001569;OfficeSupplies;Paper;Xerox232;32,4;5;0;15552;1;
58;CA-2016-111682;17/6/2016;18/6/2016;FirstClass;TB-21055;TedButterfield;Consumer;UnitedStates;Troy;NewYork;12180;East;FUR-CH-10003968;Furniture;Chairs;NovimexTurboTaskChair;319,41;5;0,1;7098;1;
59;CA-2016-111682;17/6/2016;18/6/2016;FirstClass;TB-21055;TedButterfield;Consumer;UnitedStates;Troy;NewYork;12180;East;OFF-PA-10000587;OfficeSupplies;Paper;ArrayParchmentPaper,AssortedColors;14,56;2;0;69888;1;
60;CA-2016-111682;17/6/2016;18/6/2016;FirstClass;TB-21055;TedButterfield;Consumer;UnitedStates;Troy;NewYork;12180;East;TEC-AC-10002167;Technology;Accessories;Imationï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½;30;2;0;3,3;1;
61;CA-2016-111682;17/6/2016;18/6/2016;FirstClass;TB-21055;TedButterfield;Consumer;UnitedStates;Troy;NewYork;12180;East;OFF-BI-10001460;OfficeSupplies;Binders;PlasticBindingCombs;48,48;4;0,2;16362;1;
62;CA-2016-111682;17/6/2016;18/6/2016;FirstClass;TB-21055;TedButterfield;Consumer;UnitedStates;Troy;NewYork;12180;East;OFF-AR-10001868;OfficeSupplies;Art;PrangDustlessChalkSticks;1,68;1;0;0,84;1;
63;CA-2015-135545;24/11/2015;30/11/2015;StandardClass;KM-16720;KunstMiller;Consumer;UnitedStates;LosAngeles;California;90004;West;TEC-AC-10004633;Technology;Accessories;Verbatim25GB6xBlu-raySingleLayerRecordableDisc,3/Pack;13,98;2;0;61512;6;
64;CA-2015-135545;24/11/2015;30/11/2015;StandardClass;KM-16720;KunstMiller;Consumer;UnitedStates;LosAngeles;California;90004;West;OFF-BI-10001078;OfficeSupplies;Binders;"AccoPRESSTEXDataBinderwithStorageHooks,DarkBlue,147/8""X11""";25824;6;0,2;93612;6;
65;CA-2015-135545;24/11/2015;30/11/2015;StandardClass;KM-16720;KunstMiller;Consumer;UnitedStates;LosAngeles;California;90004;West;OFF-PA-10003892;OfficeSupplies;Paper;Xerox1943;146,73;3;0;689631;6;
66;CA-2015-135545;24/11/2015;30/11/2015;StandardClass;KM-16720;KunstMiller;Consumer;UnitedStates;LosAngeles;California;90004;West;FUR-FU-10000397;Furniture;Furnishings;LuxoEconomySwingArmLamp;79,76;4;0;223328;6;
67;US-2015-164175;30/4/2015;5/5/2015;StandardClass;PS-18970;PaulStevenson;HomeOffice;UnitedStates;Chicago;Illinois;60610;Central;FUR-CH-10001146;Furniture;Chairs;GlobalValueMid-BackManager'sChair,Gray;213115;5;0,3;-152225;5;
68;CA-2014-106376;5/12/2014;10/12/2014;StandardClass;BS-11590;BrendanSweed;Corporate;UnitedStates;Gilbert;Arizona;85234;West;OFF-AR-10002671;OfficeSupplies;Art;HuntBOSTONModel1606High-VolumeElectricPencilSharpener,Beige;1113024;8;0,2;1113024;5;
69;CA-2014-106376;5/12/2014;10/12/2014;StandardClass;BS-11590;BrendanSweed;Corporate;UnitedStates;Gilbert;Arizona;85234;West;TEC-PH-10002726;Technology;Phones;netTALKDUOVoIPTelephoneService;167968;4;0,2;62988;5;
70;CA-2016-119823;4/6/2016;6/6/2016;FirstClass;KD-16270;KarenDaniels;Consumer;UnitedStates;Springfield;Virginia;22153;South;OFF-PA-10000482;OfficeSupplies;Paper;Snap-A-WayBlackPrintCarbonlessRuledSpeedLetter,Triplicate;75,88;2;0;356636;2;
71;CA-2016-106075;18/9/2016;23/9/2016;StandardClass;HM-14980;HenryMacAllister;Consumer;UnitedStates;NewYorkCity;NewYork;10009;East;OFF-BI-10004654;OfficeSupplies;Binders;AveryBindingSystemHiddenTabExecutiveStyleIndexSets;4616;1;0,2;1731;5;
72;CA-2017-114440;14/9/2017;17/9/2017;SecondClass;TB-21520;TracyBlumstein;Consumer;UnitedStates;Jackson;Michigan;49201;Central;OFF-PA-10004675;OfficeSupplies;Paper;"TelephoneMessageBookswithFax/MobileSection,51/2""x33/16""";19,05;3;0;8763;3;
73;US-2015-134026;26/4/2015;2/5/2015;StandardClass;JE-15745;JoelEaton;Consumer;UnitedStates;Memphis;Tennessee;38109;South;FUR-CH-10000513;Furniture;Chairs;High-BackLeatherManager'sChair;831936;8;0,2;-1143912;6;
74;US-2015-134026;26/4/2015;2/5/2015;StandardClass;JE-15745;JoelEaton;Consumer;UnitedStates;Memphis;Tennessee;38109;South;FUR-FU-10003708;Furniture;Furnishings;"TenexTraditionalChairmatsforMediumPileCarpet,StandardLip,36""x48""";97,04;2;0,2;1213;6;
75;US-2015-134026;26/4/2015;2/5/2015;StandardClass;JE-15745;JoelEaton;Consumer;UnitedStates;Memphis;Tennessee;38109;South;OFF-ST-10004123;OfficeSupplies;Storage;SafcoIndustrialWireShelvingSystem;72784;1;0,2;-18196;6;
76;US-2017-118038;9/12/2017;11/12/2017;FirstClass;KB-16600;KenBrennan;Corporate;UnitedStates;Houston;Texas;77041;Central;OFF-BI-10004182;OfficeSupplies;Binders;EconomyBinders;1248;3;0,8;-19344;2;
77;US-2017-118038;9/12/2017;11/12/2017;FirstClass;KB-16600;KenBrennan;Corporate;UnitedStates;Houston;Texas;77041;Central;FUR-FU-10000260;Furniture;Furnishings;"6""CubicleWallClock,Black";9708;3;0,6;-58248;2;
78;US-2017-118038;9/12/2017;11/12/2017;FirstClass;KB-16600;KenBrennan;Corporate;UnitedStates;Houston;Texas;77041;Central;OFF-ST-10000615;OfficeSupplies;Storage;SimpliFilePersonalFile,BlackGranite,15wx6-15/16dx11-1/4h;27,24;3;0,2;2724;2;
79;US-2014-147606;26/11/2014;1/12/2014;SecondClass;JE-15745;JoelEaton;Consumer;UnitedStates;Houston;Texas;77070;Central;FUR-FU-10003194;Furniture;Furnishings;EldonExpressionsDeskAccessory,WoodPencilHolder,Oak;19,3;5;0,6;-14475;5;
80;CA-2016-127208;12/6/2016;15/6/2016;FirstClass;SC-20770;StewartCarmichael;Corporate;UnitedStates;Decatur;Alabama;35601;South;OFF-AP-10002118;OfficeSupplies;Appliances;"1,7CubicFootCompact""Cube""OfficeRefrigerators";208,16;1;0;562032;3;
81;CA-2016-127208;12/6/2016;15/6/2016;FirstClass;SC-20770;StewartCarmichael;Corporate;UnitedStates;Decatur;Alabama;35601;South;OFF-BI-10002309;OfficeSupplies;Binders;AveryHeavy-DutyEZDBinderWithLockingRings;16,74;3;0;80352;3;
82;CA-2014-139451;12/10/2014;16/10/2014;StandardClass;DN-13690;DuaneNoonan;Consumer;UnitedStates;SanFrancisco;California;94122;West;OFF-AR-10002053;OfficeSupplies;Art;PremiumWritingPencils,Soft,#2byCentralAssociationfortheBlind;14,9;5;0;4172;4;
83;CA-2014-139451;12/10/2014;16/10/2014;StandardClass;DN-13690;DuaneNoonan;Consumer;UnitedStates;SanFrancisco;California;94122;West;OFF-ST-10002370;OfficeSupplies;Storage;SortfilerMultipurposePersonalFileOrganizer,Black;21,39;1;0;62031;4;
84;CA-2015-149734;3/9/2015;8/9/2015;StandardClass;JC-16105;JulieCreighton;Corporate;UnitedStates;Durham;NorthCarolina;27707;South;OFF-EN-10000927;OfficeSupplies;Envelopes;Jet-PakRecycledPeel'N'SealPaddedMailers;200984;7;0,2;628075;5;
85;US-2017-119662;13/11/2017;16/11/2017;FirstClass;CS-12400;ChristopherSchild;HomeOffice;UnitedStates;Chicago;Illinois;60623;Central;OFF-ST-10003656;OfficeSupplies;Storage;SafcoIndustrialWireShelving;230376;3;0,2;-489549;3;
86;CA-2017-140088;28/5/2017;30/5/2017;SecondClass;PO-18865;PatrickO'Donnell;Consumer;UnitedStates;Columbia;SouthCarolina;29203;South;FUR-CH-10000863;Furniture;Chairs;NovimexSwivelFabricTaskChair;301,96;2;0;332156;2;
87;CA-2017-155558;26/10/2017;2/11/2017;StandardClass;PG-18895;PaulGonzalez;Consumer;UnitedStates;Rochester;Minnesota;55901;Central;TEC-AC-10001998;Technology;Accessories;Logitechï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï;19,99;1;0;67966;7;
88;CA-2017-155558;26/10/2017;2/11/2017;StandardClass;PG-18895;PaulGonzalez;Consumer;UnitedStates;Rochester;Minnesota;55901;Central;OFF-LA-10000134;OfficeSupplies;Labels;Avery511;6,16;2;0;29568;7;
89;CA-2016-159695;5/4/2016;10/4/2016;SecondClass;GM-14455;GaryMitchum;HomeOffice;UnitedStates;Houston;Texas;77095;Central;OFF-ST-10003442;OfficeSupplies;Storage;EldonPortableMobileManager;158368;7;0,2;138572;5;
90;CA-2016-109806;17/9/2016;22/9/2016;StandardClass;JS-15685;JimSink;Corporate;UnitedStates;LosAngeles;California;90036;West;OFF-AR-10004930;OfficeSupplies;Art;TurquoiseLeadHolderwithPocketClip;20,1;3;0;6633;5;
91;CA-2016-109806;17/9/2016;22/9/2016;StandardClass;JS-15685;JimSink;Corporate;UnitedStates;LosAngeles;California;90036;West;TEC-PH-10004093;Technology;Phones;PanasonicKx-TS550;73584;2;0,2;82782;5;
92;CA-2016-109806;17/9/2016;22/9/2016;StandardClass;JS-15685;JimSink;Corporate;UnitedStates;LosAngeles;California;90036;West;OFF-PA-10000304;OfficeSupplies;Paper;Xerox1995;6,48;1;0;31104;5;
93;CA-2015-149587;31/1/2015;5/2/2015;SecondClass;KB-16315;KarlBraun;Consumer;UnitedStates;Minneapolis;Minnesota;55407;Central;OFF-PA-10003177;OfficeSupplies;Paper;Xerox1999;12,96;2;0;62208;5;
94;CA-2015-149587;31/1/2015;5/2/2015;SecondClass;KB-16315;KarlBraun;Consumer;UnitedStates;Minneapolis;Minnesota;55407;Central;FUR-FU-10003799;Furniture;Furnishings;"SethThomas131/2""WallClock";53,34;3;0;165354;5;
95;CA-2015-149587;31/1/2015;5/2/2015;SecondClass;KB-16315;KarlBraun;Consumer;UnitedStates;Minneapolis;Minnesota;55407;Central;OFF-BI-10002852;OfficeSupplies;Binders;IbicoStandardTransparentCovers;32,96;2;0;161504;5;
96;US-2017-109484;6/11/2017;12/11/2017;StandardClass;RB-19705;RogerBarcio;HomeOffice;UnitedStates;Portland;Oregon;97206;West;OFF-BI-10004738;OfficeSupplies;Binders;FlexibleLeather-LookClassicCollectionRingBinder;5682;1;0,7;-3788;6;
97;CA-2017-161018;9/11/2017;11/11/2017;SecondClass;PN-18775;ParhenaNorris;HomeOffice;UnitedStates;NewYorkCity;NewYork;10009;East;FUR-FU-10000629;Furniture;Furnishings;9-3/4DiameterRoundWallClock;96,53;7;0;405426;2;
98;CA-2017-157833;17/6/2017;20/6/2017;FirstClass;KD-16345;KatherineDucich;Consumer;UnitedStates;SanFrancisco;California;94122;West;OFF-BI-10001721;OfficeSupplies;Binders;TrimflexFlexiblePostBinders;51312;3;0,2;179592;3;
99;CA-2016-149223;6/9/2016;11/9/2016;StandardClass;ER-13855;ElpidaRittenbach;Corporate;UnitedStates;SaintPaul;Minnesota;55106;Central;OFF-AP-10000358;OfficeSupplies;Appliances;FellowesBasicHome/OfficeSeriesSurgeProtectors;77,88;6;0;225852;5;
100;CA-2016-158568;29/8/2016;2/9/2016;StandardClass;RB-19465;RickBensley;HomeOffice;UnitedStates;Chicago;Illinois;60610;Central;OFF-PA-10003256;OfficeSupplies;Paper;AveryPersonalCreationsHeavyweightCards;64624;7;0,2;226184;4;
101;CA-2016-158568;29/8/2016;2/9/2016;StandardClass;RB-19465;RickBensley;HomeOffice;UnitedStates;Chicago;Illinois;60610;Central;TEC-AC-10001767;Technology;Accessories;SanDiskUltra64GBMicroSDHCClass10MemoryCard;95976;3;0,2;-107973;4;
